key.ref_cf[10600],transition,username,update.worklog,update.comment,field.assignee.name,worklog.startdate
76-2014,LANCAR_HORAS,Desenvolvedor SOA 1,152,Lançando horas da atividade.,,11/21/2014
76-2014,LANCAR_HORAS,Desenvolvedor SOA 2,152,Lançando horas da atividade.,,11/21/2014
76-2014,RESOLVED,Desenvolvedor SOA 3,152,Atividade finalizada.,,11/21/2014
76-2014,LANCAR_HORAS,alexandre.junio,46,Demanda disponível para homologação.,,11/21/2014
76-2014,CLOSED,julioc.araujo.ms,,Ok.,,11/21/2014
77-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor SOA 1,11/12/2014
77-2014,LANCAR_HORAS,Desenvolvedor SOA 1,128,Lançando horas da atividade.,,12/3/2014
77-2014,LANCAR_HORAS,Desenvolvedor SOA 2,128,Lançando horas da atividade.,,12/3/2014
77-2014,LANCAR_HORAS,Desenvolvedor SOA 3,128,Lançando horas da atividade.,,12/3/2014
77-2014,RESOLVED,Desenvolvedor SOA 4,128,Atividade concluída.,,12/3/2014
77-2014,LANCAR_HORAS,alexandre.junio,52,Demanda disponível para homologação.,,12/3/2014
77-2014,CLOSED,julioc.araujo.ms,,Demanda verificada.,,12/3/2014
78-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor 1/Tester SOA 1,11/19/2014
78-2014,LANCAR_HORAS,Desenvolvedor 1/Tester SOA 1,112,Lançando horas da atividade.,,12/8/2014
78-2014,RESOLVED,Desenvolvedor 2/Tester SOA 2,112,Demanda concluída.,,12/8/2014
78-2014,LANCAR_HORAS,alexandre.junio,23,Demanda disponível para homologação.,,12/8/2014
78-2014,CLOSED,julioc.araujo.ms,,Demanda verificada.,,12/8/2014
79-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor 1/Tester SOA 1,11/12/2014
79-2014,LANCAR_HORAS,Desenvolvedor 1/Tester SOA 1,80,Lançando horas da atividade.,,11/25/2014
79-2014,RESOLVED,Desenvolvedor 2/Tester SOA 2,80,Atividade finalizada.,,11/25/2014
79-2014,LANCAR_HORAS,alexandre.junio,16,Demanda disponível para homologação.,,11/25/2014
79-2014,CLOSED,sergio.correia.ms,,Tudo certo.,,11/25/2014
80-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor 1/Tester SOA 1,11/13/2014
80-2014,LANCAR_HORAS,Desenvolvedor 1/Tester SOA 1,80,Lançando horas da atividade.,,11/26/2014
80-2014,RESOLVED,Desenvolvedor 2/Tester SOA 2,80,Demanda concluída.,,11/26/2014
80-2014,LANCAR_HORAS,alexandre.junio,16,Demanda disponível para homologação.,,11/26/2014
80-2014,CLOSED,sergio.correia.ms,,Demanda validada.,,11/26/2014
81-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/6/2014
81-2014,RESOLVED,Desenvolvedor/Tester SOA,16,Atividade finalizada.,,11/7/2014
81-2014,LANCAR_HORAS,alexandre.junio,2,Demanda disponível para homologação.,,11/7/2014
81-2014,CLOSED,julioc.araujo.ms,,Ok.,,11/7/2014
82-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/6/2014
82-2014,RESOLVED,Desenvolvedor/Tester SOA,16,Atividade concluída.,,11/7/2014
82-2014,LANCAR_HORAS,alexandre.junio,2,Demanda disponível para homologação.,,11/7/2014
82-2014,CLOSED,sergio.correia.ms,,Demanda verificada.,,11/7/2014
83-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/6/2014
83-2014,RESOLVED,Desenvolvedor/Tester SOA,32,Atividade concluída.,,11/11/2014
83-2014,LANCAR_HORAS,alexandre.junio,4,Demanda disponível para homologação.,,11/11/2014
83-2014,CLOSED,sergio.correia.ms,,Tudo certo.,,11/11/2014
84-2014,IN_PROGRESS,alexandre.junio,,Demanda analisada e atribuída ao responsável.,Desenvolvedor/Tester SOA,11/4/2014
84-2014,RESOLVED,Desenvolvedor/Tester SOA,16,Atividade finalizada.,,11/6/2014
84-2014,LANCAR_HORAS,alexandre.junio,2,Demanda disponível para homologação.,,11/6/2014
